"CODOM"|"UASG"|"NOMEOM"|"SIGLAOM"|"INDICATIVOOM"|"UF"|"AREAOM"|"COD_OM_COMIMSUP"|"SITUACAO"
"1072"|"783810"|CENTRO DE INTENDÊNCIA DA MARINHA EM NATAL|CEIMNA|CITNAT|RN|TERCEIRO DN|680.0|1
"1008"|"702060"|REPRESENTAÇÃO BRASILEIRA NA JUNTA INTERAMERICANA DE DEFESA - DELEGAÇÃO MARINHA|RBJID|DELJID||EXTERIOR|836.0|1
"1081"|"784515"|AVISO HIDROCEANOGRÁFICO FLUVIAL RIO TOCANTINS|AVHOFLURIOTOCANTINS|AVHOTO|PA|QUARTO DN|1174.0|1
"1082"|"784516"|AVISO HIDROCEANOGRÁFICO FLUVIAL RIO XINGU|AVHOFLURIOXINGU|AVHOXI|PA|QUARTO DN|1174.0|1
"1085"|"787320"|CAPITANIA FLUVIAL DE BRASÍLIA|CFB|CPFBRA|DF|SÉTIMO DN|830.0|1
"1086"|"784311"|CAPITANIA FLUVIAL DE SANTAREM|CFS|CFAREM|PA|QUARTO DN|720.0|1
"1095"|"743004"|GRUPO DE FISCALIZAÇÃO E RECEBIMENTO DAS AERONAVES COD/AAR|GFRCOD|GFRCOD||EXTERIOR|506.0|1
"1093"|"772000"|DIRETORIA DE GESTÃO ORÇAMENTÁRIA DA MARINHA|DGOM|DIRGOM|RJ|PRIMEIRO DN|837.0|1
"1102"|"783323"|AGÊNCIA DA CAPITANIA DOS PORTOS EM ARACATI|AGARACATI|AGCATI|CE|TERCEIRO DN|691.0|1
"1028"|"779000"|DIRETORIA DE PATRIMÔNIO HISTÓRICO E DOCUMENTAÇÃO DA MARINHA|DPHDM|DPHDOC|RJ|PRIMEIRO DN|837.0|1
"1039"|"740002"|COORDENADORIA-GERAL DO PROGRAMA DE DESENVOLVIMENTO DE SUBMARINO COM PROPULSÃO NUCLEAR|COGESN|CGPSPN|RJ|PRIMEIRO DN|1168.0|1
"1041"|"712001"|ESANTAR-RIO SECIRM-25 SUBOM SECIRM|ESANTAR-RIO||RJ|PRIMEIRO DN|70.0|1
"1046"|"740003"|ESCRITÓRIO TÉCNICO DO PROGRAMA DE DESENVOLVIMENTO DE SUBMARINOS NA FRANÇA |ET-PROSUB|PROSUB||EXTERIOR|506.0|1
"1052"|"795350"|UNIDADE MÉDICA EXPEDICIONÁRIA DA MARINHA|UMEM|UMEXMB|RJ|PRIMEIRO DN|588.0|1
"1061"|"751204"|NAVIO HIDROCEANOGRÁFICO FAROLEIRO ALTE GRAÇA ARANHA|NHOFALTEGARANHA|NFGRAR|RJ|PRIMEIRO DN|269.0|1
"1064"|"733100"|CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA|CADIM|CAMBAI|RJ|PRIMEIRO DN|1165.0|1
"1066"|"783171"|NAVIO PATRULHA MACAU|NPAMACAU|NPACAU|RN|TERCEIRO DN|1021.0|1
"1067"|"765708"|POLICLÍNICA NAVAL DE NITERÓI|PNN|PCLNIT|RJ|PRIMEIRO DN|286.0|1
"1070"|"786810"|CENTRO DE INTENDÊNCIA DA MARINHA EM LADÁRIO|CEIMLA|CITLAD|MS|SEXTO DN|790.0|1
"1073"|"785810"|CENTRO DE INTENDÊNCIA DA MARINHA EM RIO GRANDE|CEIMRG|CITRGD|RS|QUINTO DN|760.0|1
"1074"|"791181"|CENTRO DE INTENDÊNCIA DA MARINHA EM SÃO PEDRO DA ALDEIA|CEIMSPA|CITSPA|RJ|PRIMEIRO DN|558.0|1
"1075"|"782802"|CENTRO DE INTENDÊNCIA DA MARINHA EM SALVADOR|CEIMSA|CITSAL|BA|SEGUNDO DN|640.0|1
"1088"|"765709"|POLICLÍNICA NAVAL DE CAMPO GRANDE|PNCG|PCLNCG|RJ|PRIMEIRO DN|286.0|1
"1117"|"701054"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXERCITO E AERONÁUTICO NA TURQUIA E NA UCRÂNIA|ADIDEFNAVEXAERTURUCRANIA|ADFTRQ||EXTERIOR|836.0|1
"1120"|"788512"|AVISO HIDROCEANOGRÁFICO FLUVIAL RIO SOLIMÕES|AVHOFLURIOSOLIMOES|AVHOSL|AM|NONO DN|1242.0|1
"1128"|"701055"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICO EM CABO VERDE|ADIDEFNAVEXAERCABOVERDE|ADFCBV||EXTERIOR|836.0|1
"1154"|"743005"|GRUPO DE FISCALIZAÇÃO E RECEBIMENTO DAS AERONAVES LYNX|GFRLYNX|GFRLYX||EXTERIOR|501.0|1
"1107"|"714002"|NÚCLEO DE INTELIGÊNCIA DA MARINHA EM SÃO PAULO|CIM-NUCLINT||SP|OITAVO DN|841.0|1
