"CODOM"|"UASG"|"NOMEOM"|"SIGLAOM"|"INDICATIVOOM"|"UF"|"AREAOM"|"COD_OM_COMIMSUP"|"SITUACAO"
"1264"|"702020"|ASSISTÊNCIA MILITAR DA MARINHA NA ESCOLA SUPERIOR DE GUERRA - RIO DE JANEIRO|ASMESG-RJ|ASESPG|RJ|PRIMEIRO DN|532.0|1
"1271"|"742050"|CENTRO DE INTENDÊNCIA TECNOLÓGICO DA MARINHA EM SÃO PAULO|CEITMSP|CITMSP|SP|OITAVO DN|752.0|1
"1274"|"701064"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXERCITO E AERONAUTICA NO CANADA|ADIDEFNAVEXAERCANADA|ADFCAN||EXTERIOR|836.0|1
"1276"|"791609"|NAVIO-AERÓDROMO MULTIPROPÓSITO ATLÂNTICO|NAM ATLANTICO|NAMATL|RJ|PRIMEIRO DN|191.0|1
"1277"|"740018"|COORDENADORIA-GERAL DO PROGRAMA DE DESENVOLVIMENTO DE SUBMARINOS COM PROPULSÃO NUCLEAR-ITAGUAÍ|COGESN-ITAGUAÍ|CGPSPN|RJ|PRIMEIRO DN|1168.0|1
"1278"|"743006"|GRUPO DE FISCALIZAÇÃO E RECEBIMENTO DO SISTEMA DE AERONAVES REMOTAMENTE PILOTADAS EMBARCADO|GFRARP|GFRARP||EXTERIOR|501.0|1
"1279"|"740031"|ESCOLA TÉCNICA DO ARSENAL DE MARINHA|ETAM|ETAMRJ|RJ|PRIMEIRO DN|1170.0|1
"1280"|"740015"|BASE NAVAL DA ILHA DAS COBRAS|BNIC|BNAVIC|RJ|PRIMEIRO DN|506.0|1
"1281"|"787330"|CAPITANIA FLUVIAL DE GOIÁS|CFGO|CFGOIA|GO|SÉTIMO DN|830.0|1
"1282"|"795700"|BATALHÃO DE COMBATE AÉREO|BTLCMBAE|COMBAE|RJ|PRIMEIRO DN|606.0|1
"1283"|"786320"|CAPITANIA FLUVIAL DE MATO GROSSO|CFMT|CFCUIA|MT|SEXTO DN|790.0|1
"1284"|"786321"|AGÊNCIA FLUVIAL DE CÁCERES|AGCACERES|AGCACE|MT|SEXTO DN|1283.0|1
"1285"|"786322"|AGÊNCIA FLUVIAL DE SÃO FÉLIX DO ARAGUAIA|AGSFARAGUAIA|AGELIX|MT|SEXTO DN|1283.0|1
"1292"|"701058"|ADIDÂNCIA DE DEFESA, NAVAL E AERONÁUTICA NA INDONÉSIA, NA TAILÂNDIA E NO VIETNÃ|ADIDEFNAVAERINDTAIVIETNA|ADNIND||EXTERIOR|836.0|1
"1293"|"720311"|CENTRO TECNOLÓGICO DA MARINHA NO RIO DE JANEIRO - LAMP|CTMRJ-LAMP|CTEMRJ|SP|OITAVO DN|1169.0|1
"1301"|"786106"|GRUPO DE EMBARCAÇÕES DE OPERAÇÕES RIBEIRINHAS DO MATO GROSSO|GREOPRIBMT|GEORMT|MS|SEXTO DN|792.0|1
"1307"|"744022"|CENTRO DE MANUTENÇÃO DE SISTEMAS DA MARINHA - SUPERINTENDÊNCIA DE SISTEMA EM ITAGUAÍ|CMS-ITAGUAÍ|SISTEM|RJ|PRIMEIRO DN|1170.0|1
"1291"|"791512"|COMANDO DA FORÇA DE SUBMARINOS EM NITERÓI|COMFORS-NITERÓI|FORSUB|RJ|PRIMEIRO DN|593.0|1
"1308"|"702021"|ASSISTÊNCIA MILITAR DA MARINHA NA ESCOLA SUPERIOR DE DEFESA - BRASÍLIA|ASMESD-BSB|ASSESD|DF|SÉTIMO DN|532.0|1
"1295"|"791672"|EMBARCAÇÃO DE DESEMBARQUE DE CARGA GERAL GUARAPARI|EDCGGUARAPARI|EDCGUA|RJ|PRIMEIRO DN|198.0|1
"1296"|"791673"|EMBARCAÇÃO DE DESEMBARQUE DE CARGA GERAL TAMBAÚ|EDCGTAMBAU|EDCGTA|RJ|PRIMEIRO DN|198.0|1
"1297"|"791674"|EMBARCAÇÃO DE DESEMBARQUE DE CARGA GERAL CAMBORIÚ|EDCGCAMBORIU|EDCGIU|RJ|PRIMEIRO DN|198.0|1
"1298"|"791513"|AVISO DE APOIO COSTEIRO ALMIRANTE HESS|AVAPCOALTEHESS|AVHESS|RJ|PRIMEIRO DN|34.0|1
"1304"|"701063"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICA NOS EMIRADOS ÁRABES UNIDOS E NA ARÁBIA SAUDITA|ADIDEFNAVEXAEREAUARABIASAUDITA|ADFSAU||EXTERIOR|836.0|1
"1310"|"762413"|VELEIRO OCEÂNICO JOÃO DAS BOTAS|VOJBOTAS|VOJBOT|RJ|PRIMEIRO DN|525.0|1
"1288"|"795305"|BATALHÃO DE DEFESA NUCLEAR, BIOLÓGICA, QUÍMICA E RADIOLÓGICA|BTLDEFNBQR|BDNBQR|RJ|PRIMEIRO DN|588.0|1
"1302"|"784127"|GRUPO DE EMBARCAÇÕES DE OPERAÇÕES RIBEIRINHAS DO NORTE|GREOPRIBN|GEORNO|PA|QUARTO DN|1022.0|1
"1305"|"788135"|GRUPO DE EMBARCAÇÕES DE OPERAÇÕES RIBEIRINHAS DO AMAZONAS|GREOPRIBAM|GEORAM|AM|NONO DN|721.0|1
"1309"|"799000"|COMANDO DE OPERAÇÕES MARÍTIMAS E PROTEÇÃO DA AMAZÔNIA AZUL|COMPAAZ|COMPAZ|RJ|PRIMEIRO DN|630.0|1
"1336"|"791905"|CENTRO DE APOIO A SISTEMAS OPERATIVOS - ITAGUAÍ|CASOP-ITAGUAÍ|CASOPE|RJ|PRIMEIRO DN|306.0|1
"1348"|"771255"|DEPÓSITPO DE SOBRESSALENTES DA MARINHA NO RIO DE JANEIRO EM ITAGUAÍ |DEPSMRJ-ITAGUAÍ|DPSOBR|RJ|PRIMEIRO DN||1
"1315"|"742021"|DIRETORIA DE DESENVOLVIMENTO NUCLEAR DA MARINHA - ARAMAR|DDNM-ARAMAR|DDNUCM|SP|OITAVO DN|752.0|1
"1316"|"791105"|"1º ESQUADRÃO DE AERONAVES REMOTAMENTE PILOTADAS"|ESQDQE-1|ESQARP|RJ|PRIMEIRO DN|558.0|1
"1339"|"771600"|CENTRO DE SUPRIMENTOS DO ABASTECIMENTO|CSUPAB|CSUPAB|RJ|PRIMEIRO DN|4.0|1
"1341"|"789260"|GRUPAMENTO DE FUZILEIROS NAVAIS DE SANTOS|GPTFNSANTOS|GRFSTO|SP|OITAVO DN|210.0|1
"1346"|"780022"|NÚCLEO DE IMPLANTAÇÃO DO ESQUADRÃO DE GUERRA CIBERNÉTICA|NI-ESQDGCIBER|NIEQGC|RJ|PRIMEIRO DN||1
"1313"|"742010"|CENTRO TECNÓLOGICO DA MARINHA EM SÃO PAULO - CENTRO EXPERIMENTAL DE ARAMAR|CTMSP-CEA|CTEMSP|SP|OITAVO DN|1167.0|1
"1314"|"780011"|COMBINED TASK FORCE 151 (CTF-151)|CTF-151||RJ|EXTERIOR|630.0|1
"1320"|"764003"|DIRETORIA DO PESSOAL DA MARINHA - BRASÍLIA|DPM-BSB|DPMBSB|DF|SÉTIMO DN|532.0|1
"1321"|"791535"|SUBMARINO RIACHUELO|SRIACHUELO|SBRCHL|RJ|PRIMEIRO DN|34.0|1
"1347"|"733000"|COMANDO DO TREINAMENTO E DO DESENVOLVIMENTO DOUTRINÁRIO DO CFN|CTDDCFN|CTDCFN|RJ|PRIMEIRO DN|581.0|1
"1317"|"746005"|DIRETORIA DE OBRAS CIVIS DA MARINHA - ITAGUAÍ|DOCM-ITAGUAÍ|OBRCIV|RJ|PRIMEIRO DN|506.0|1
"1318"|"786004"|COMANDO DO 6º DISTRITO NAVAL EM CAMPO GRANDE-MS|COM6DN-CG|SXTDIS|MS|SEXTO DN|630.0|1
"1322"|"720400"|INSTITUTO NAVAL DE PÓS-GRADUAÇÃO|INPG|INAVPG|RJ|PRIMEIRO DN||1
"1326"|"720321"|CENTRO DE PROJETOS E SISTEMAS NAVAIS - SÃO PAULO|CPSN-SP|CPSNAV|SP|OITAVO DN|1168.0|1
"1328"|"718000"|SECRETARIA NAVAL DE SEGURANÇA NUCLEAR E QUALIDADE|SECNSNQ|SEGNUC|RJ|PRIMEIRO DN|298.0|1
"1331"|"710202"|EMPRESA GERENCIAL DE PROJETOS NAVAIS - ARACRUZ|EMGEPRON-ARACRUZ|EGPRON|RJ|PRIMEIRO DN|299.0|1
"1335"|"720314"|DIRETORIA-GERAL DE DESENVOLVIMENTO NUCLEAR E TECNOLÓGICO DA MARINHA|DGDNTM|DRGNUC|SP|OITAVO DN|298.0|1
"1319"|"764000"|DIRETORIA DO PESSOAL DA MARINHA|DPM|PESMAR|RJ|PRIMEIRO DN|532.0|1
"1324"|"789015"|NAVIO-PATRULHA MARACANÃ|NPAMARACANÃ|NPAMRC|RJ|OITAVO DN|1210.0|1
"1325"|"720320"|CENTRO DE PROJETOS DE SISTEMAS NAVAIS|CPSN|CPSNAV|RJ|PRIMEIRO DN|1168.0|1
"1333"|"771200"|CENTRO DE OPERAÇÕES DO ABASTECIMENTO|COPAB|COPEAB|RJ|PRIMEIRO DN|4.0|1
"1337"|"778005"|CAIXA DE CONTRUÇÕES DE CASAS PARA O PESSOAL DA MARINHA - BRASÍLIA|CCCPMM-BSB|CCCPMM|DF|SÉTIMO DN|837.0|1
"1350"|"710310"|AMAZÔNIA AZUL TECNOLOGIAS DE DEFESA S.A. NO RIO DE JANEIRO|AMAZUL-RIO|AMAZUL|RJ|PRIMEIRO DN||1
"1349"|"740034"|NÚCLEO DE IMPLANTAÇÃO DO ESTALEIRO DE MANUTENÇÃO DA ILHA DA MADEIRA|NI-EMIM|NIEMIM|RJ|PRIMEIRO DN||1
"1311"|"786323"|AGÊNCIA FLUVIAL DE SINOP|AGSINOP|AGFSIN|MT|SEXTO DN|1283.0|1
"1327"|"780030"|CENTRO DE DESENVOLVIMENTO DOUTRINÁRIO DE GUERRA NAVAL|CDDGN|CDDNAV|RJ|PRIMEIRO DN|630.0|1
"1329"|"718010"|SECRETARIA NAVAL DE SEGURANÇA NUCLEAR E QUALIDADE - ITAGUAÍ|SECNSNQ-ITAGUAÍ|SEGNUC|RJ|PRIMEIRO DN|298.0|1
"1340"|"791536"|SUBMARINO HUMAITÁ|SHUMAITA|SBRHMT|RJ|PRIMEIRO DN|34.0|1
"1342"|"787010"|CENTRO DE INTENDÊNCIA DA MARINHA EM BRASÍLIA|CEIMBRA|CITBRA|DF|SÉTIMO DN|830.0|1
"1355"|"795300"| COMANDO DA DIVISÃO LITORÂNEA|COMDIVLIT|DIVLIT|RJ|PRIMEIRO DN|606.0|1
